date,Data,kategori
2020-03-02,2,total
2020-03-03,2,total
2020-03-04,2,total
2020-03-05,2,total
2020-03-06,4,total
2020-03-07,4,total
2020-03-08,6,total
2020-03-09,19,total
2020-03-10,27,total
2020-03-11,34,total
2020-03-12,34,total
2020-03-13,69,total
2020-03-14,96,total
2020-03-15,117,total
2020-03-16,134,total
2020-03-17,172,total
2020-03-18,227,total
2020-03-19,309,total
2020-03-20,369,total
2020-03-21,450,total
2020-03-22,514,total
2020-03-23,579,total
2020-03-24,686,total
2020-03-25,790,total
2020-03-26,893,total
2020-03-27,1046,total
2020-03-28,1155,total
2020-03-29,1285,total
2020-03-30,1414,total
2020-03-31,1528,total
2020-04-01,1677,total
2020-04-02,1790,total
2020-04-03,1986,total
2020-04-04,2092,total
2020-04-05,2273,total
2020-04-06,2491,total
2020-04-07,2738,total
2020-04-08,2956,total
2020-04-09,3293,total
2020-04-10,3512,total
2020-04-11,3842,total
2020-04-12,4241,total
2020-04-13,4557,total
2020-04-14,4839,total
2020-04-15,5136,total
2020-03-02,0,pulih
2020-03-03,0,pulih
2020-03-04,0,pulih
2020-03-05,0,pulih
2020-03-06,0,pulih
2020-03-07,0,pulih
2020-03-08,0,pulih
2020-03-09,0,pulih
2020-03-10,0,pulih
2020-03-11,2,pulih
2020-03-12,3,pulih
2020-03-13,5,pulih
2020-03-14,8,pulih
2020-03-15,8,pulih
2020-03-16,8,pulih
2020-03-17,9,pulih
2020-03-18,11,pulih
2020-03-19,15,pulih
2020-03-20,17,pulih
2020-03-21,20,pulih
2020-03-22,29,pulih
2020-03-23,30,pulih
2020-03-24,30,pulih
2020-03-25,31,pulih
2020-03-26,35,pulih
2020-03-27,46,pulih
2020-03-28,59,pulih
2020-03-29,64,pulih
2020-03-30,75,pulih
2020-03-31,81,pulih
2020-04-01,103,pulih
2020-04-02,112,pulih
2020-04-03,134,pulih
2020-04-04,150,pulih
2020-04-05,164,pulih
2020-04-06,192,pulih
2020-04-07,204,pulih
2020-04-08,222,pulih
2020-04-09,252,pulih
2020-04-10,282,pulih
2020-04-11,286,pulih
2020-04-12,359,pulih
2020-04-13,380,pulih
2020-04-14,426,pulih
2020-04-15,446,pulih
2020-03-02,2,kasus_aktif
2020-03-03,2,kasus_aktif
2020-03-04,2,kasus_aktif
2020-03-05,2,kasus_aktif
2020-03-06,4,kasus_aktif
2020-03-07,4,kasus_aktif
2020-03-08,6,kasus_aktif
2020-03-09,19,kasus_aktif
2020-03-10,27,kasus_aktif
2020-03-11,31,kasus_aktif
2020-03-12,30,kasus_aktif
2020-03-13,60,kasus_aktif
2020-03-14,83,kasus_aktif
2020-03-15,104,kasus_aktif
2020-03-16,121,kasus_aktif
2020-03-17,156,kasus_aktif
2020-03-18,197,kasus_aktif
2020-03-19,269,kasus_aktif
2020-03-20,320,kasus_aktif
2020-03-21,392,kasus_aktif
2020-03-22,437,kasus_aktif
2020-03-23,500,kasus_aktif
2020-03-24,601,kasus_aktif
2020-03-25,701,kasus_aktif
2020-03-26,780,kasus_aktif
2020-03-27,913,kasus_aktif
2020-03-28,994,kasus_aktif
2020-03-29,1107,kasus_aktif
2020-03-30,1217,kasus_aktif
2020-03-31,1311,kasus_aktif
2020-04-01,1417,kasus_aktif
2020-04-02,1508,kasus_aktif
2020-04-03,1671,kasus_aktif
2020-04-04,1751,kasus_aktif
2020-04-05,1911,kasus_aktif
2020-04-06,2090,kasus_aktif
2020-04-07,2313,kasus_aktif
2020-04-08,2494,kasus_aktif
2020-04-09,2761,kasus_aktif
2020-04-10,2924,kasus_aktif
2020-04-11,3229,kasus_aktif
2020-04-12,3509,kasus_aktif
2020-04-13,3778,kasus_aktif
2020-04-14,3954,kasus_aktif
2020-04-15,4221,kasus_aktif
2020-03-02,0,meninggal
2020-03-03,0,meninggal
2020-03-04,0,meninggal
2020-03-05,0,meninggal
2020-03-06,0,meninggal
2020-03-07,0,meninggal
2020-03-08,0,meninggal
2020-03-09,0,meninggal
2020-03-10,0,meninggal
2020-03-11,1,meninggal
2020-03-12,1,meninggal
2020-03-13,4,meninggal
2020-03-14,5,meninggal
2020-03-15,5,meninggal
2020-03-16,5,meninggal
2020-03-17,7,meninggal
2020-03-18,19,meninggal
2020-03-19,25,meninggal
2020-03-20,32,meninggal
2020-03-21,38,meninggal
2020-03-22,48,meninggal
2020-03-23,49,meninggal
2020-03-24,55,meninggal
2020-03-25,58,meninggal
2020-03-26,78,meninggal
2020-03-27,87,meninggal
2020-03-28,102,meninggal
2020-03-29,114,meninggal
2020-03-30,122,meninggal
2020-03-31,136,meninggal
2020-04-01,157,meninggal
2020-04-02,170,meninggal
2020-04-03,181,meninggal
2020-04-04,191,meninggal
2020-04-05,198,meninggal
2020-04-06,209,meninggal
2020-04-07,221,meninggal
2020-04-08,240,meninggal
2020-04-09,280,meninggal
2020-04-10,306,meninggal
2020-04-11,327,meninggal
2020-04-12,373,meninggal
2020-04-13,399,meninggal
2020-04-14,459,meninggal
2020-04-15,469,meninggal
